date,system_id,condition,cycle,neg_exit_count,neg_re_ratio,path_tortuosity,ifi_cv,mean_handling_time_s,n_distinct_flowers,n_exit_v3,n_return_v3,re_ratio_v3,median_trip_s,mean_trip_s,n_matched,n_visits,mean_dbm,max_dbm,median_dbm,mean_mbps,max_mbps
2026-04-24,900,ON,0,-63.0,-1.9841269841269842,2.3056085578730543,3.730622371906342,6.64357558571427,8,63,125,1.9841269841269842,953.0,1149.7777777777778,63,70,,,,,
2026-04-25,900,ON,0,-56.0,-2.5,2.1206674576142253,2.0063090717641687,5.981461822580646,7,56,140,2.5,607.0,640.8928571428571,56,62,,,,,
2026-04-26,900,OFF,0,-56.0,-1.9464285714285714,2.338322743798283,3.173214489228231,6.36650455999999,8,56,109,1.9464285714285714,1004.5,973.5535714285714,56,50,,,,,
2026-04-27,900,OFF,0,-98.0,-1.7142857142857142,2.223212168671061,2.6350257620850672,7.009707956043968,8,98,168,1.7142857142857142,201.0,396.7857142857143,98,91,,,,,
2026-04-28,900,OFF,0,-38.0,-2.3684210526315788,2.3669311009664797,2.800198192128319,5.582001024999988,6,38,90,2.3684210526315788,1886.0,1464.8918918918919,37,40,,,,,
2026-04-29,900,ON,1,-44.0,-1.7045454545454546,2.4378888347701357,2.5826735103629956,5.590106666666684,4,44,75,1.7045454545454546,783.5,936.8181818181819,44,33,,,,,
2026-04-30,900,ON,1,-50.0,-1.82,2.47093947062843,2.959009900994303,7.783850363636382,5,50,91,1.82,396.0,559.9183673469388,49,33,,,,,
2026-05-01,900,ON,1,-57.0,-1.8421052631578947,2.4970554269341996,2.781576919660459,6.597114130434787,7,57,105,1.8421052631578947,1160.0,1186.298245614035,57,46,,,,,
2026-05-02,900,OFF,1,-74.0,-2.0405405405405403,2.28478163021957,3.16132019376707,7.026921151162799,9,74,151,2.0405405405405403,282.5,304.13513513513516,74,86,,,,,
2026-05-03,900,OFF,1,-68.0,-2.014705882352941,2.1289112131258507,2.7225121724356716,6.648004958333327,5,68,137,2.014705882352941,125.0,269.36764705882354,68,72,,,,,
2026-05-04,900,OFF,1,-64.0,-1.484375,2.2126103734422946,2.0095408881673706,5.120675456521733,8,64,95,1.484375,301.0,520.9508196721312,61,46,,,,,
2026-05-05,900,ON,2,-62.0,-1.2258064516129032,2.3124383793418684,2.807588098006226,6.991108027777759,6,62,76,1.2258064516129032,2215.0,2379.4032258064517,62,36,,,,,
2026-05-06,900,ON,2,-90.0,-1.4333333333333333,2.2516589640956863,2.0746922441932862,5.6272865131579035,10,90,129,1.4333333333333333,453.0,963.1777777777778,90,76,,,,,
2026-05-07,900,ON,2,-80.0,-1.375,2.2758887251057027,3.0816458966098637,8.076780585714289,6,80,110,1.375,2486.5,2204.8375,80,70,,,,,
2026-05-08,900,OFF,2,-92.0,-1.434782608695652,2.1886104394531287,1.1379495585452697,6.319513571428569,5,92,132,1.434782608695652,271.0,528.7391304347826,92,70,,,,,
2026-05-09,900,OFF,2,-61.0,-2.262295081967213,2.2937707795748925,1.1719600353434123,9.313436423076922,4,61,138,2.262295081967213,187.0,513.0819672131148,61,52,,,,,
2026-05-10,900,OFF,2,-65.0,-1.5384615384615385,2.2931861706697836,3.781463043369208,6.819593880952383,5,65,100,1.5384615384615385,751.0,1183.1384615384616,65,42,,,,,
2026-05-11,900,ON,3,-75.0,-1.6133333333333333,2.1762789313135826,1.9331421361724848,9.759252865671634,7,75,121,1.6133333333333333,593.0,572.4533333333334,75,67,,,,,
2026-05-12,900,ON,3,-71.0,-1.6338028169014085,2.094394847161535,1.2437265654548344,6.34672508108107,2,71,116,1.6338028169014085,278.0,634.1408450704225,71,37,,,,,
2026-05-13,900,ON,3,-56.0,-1.375,2.165806737604777,1.9116428214595234,7.585171965517274,4,56,77,1.375,1518.0,1464.0,54,29,,,,,
2026-05-14,900,OFF,3,-55.0,-1.2545454545454546,2.225785733910786,1.1191866598853537,8.596670565217384,3,55,69,1.2545454545454546,872.0,1249.909090909091,55,23,,,,,
2026-05-15,900,OFF,3,-64.0,-1.296875,2.2413881499142074,2.968135037514315,8.96079897560976,8,64,83,1.296875,1441.5,2269.203125,64,41,,,,,
2026-05-16,900,OFF,3,-97.0,-1.3608247422680413,2.1302691021034272,2.847648210064813,8.429678911764688,5,97,132,1.3608247422680413,399.0,593.1855670103092,97,68,,,,,
2026-05-17,900,ON,4,-81.0,-1.345679012345679,2.2043514636861063,1.9913182193901204,8.569214508771916,8,81,109,1.345679012345679,364.0,746.0506329113924,79,57,,,,,
2026-05-18,900,ON,4,-51.0,-1.2549019607843137,2.2125123926537578,1.453683625002636,6.657257161290315,5,51,64,1.2549019607843137,2550.0,3133.470588235294,51,31,,,,,
2026-05-19,900,ON,4,-92.0,-1.0217391304347827,2.2641701652068953,2.274746300466717,6.924830823529401,5,92,94,1.0217391304347827,1149.0,1616.0978260869565,92,51,,,,,
2026-05-20,900,OFF,4,-32.0,-1.46875,2.4300503732532697,1.659532009379773,4.1157133333333835,2,32,47,1.46875,573.5,964.9375,32,15,,,,,
2026-05-21,900,OFF,4,-50.0,-1.58,2.462460807706548,1.9615777448218126,7.277535107142876,4,50,79,1.58,847.0,1531.6666666666667,48,28,,,,,
2026-05-22,900,OFF,4,-18.0,-1.8888888888888888,2.648739955525353,0.9994577750666527,4.694300400000023,1,18,34,1.8888888888888888,1379.5,1745.5555555555557,18,10,,,,,
2026-05-23,900,ON,5,-12.0,-2.0,2.6614655566379994,1.3195163479949932,4.219913222222206,2,12,24,2.0,1573.5,1804.5833333333333,12,9,,,,,
2026-05-24,900,ON,5,-13.0,-2.5384615384615383,2.6035290286342136,1.4437319464413902,5.32601199999996,2,13,33,2.5384615384615383,939.0,1045.0,13,10,,,,,
2026-05-25,900,ON,5,-16.0,-0.8125,2.6940329564679137,2.55580896313361,3.844580444444432,4,16,13,0.8125,7081.0,8640.615384615385,13,9,,,,,
2026-05-27,900,OFF,5,-14.0,-1.0714285714285714,2.3683536401642193,1.6294301160601117,5.395792416666686,5,14,15,1.0714285714285714,6564.0,6578.076923076923,13,12,,,,,
2026-05-28,900,OFF,5,-7.0,-2.4285714285714284,2.6232525803608837,1.1643282212055706,4.400278818181833,4,7,17,2.4285714285714284,2334.0,2085.714285714286,7,11,,,,,
2026-04-21,939,BASELINE,-1,-12.0,-0.3333333333333333,2.243490329928104,1.7125235921127222,7.94722822222223,3,12,4,0.3333333333333333,16353.0,13924.0,4,9,,,,,
2026-04-22,939,BASELINE,-1,-43.0,-1.4883720930232558,2.3967191125584497,1.919318318171455,4.54016046153852,5,43,64,1.4883720930232558,3200.0,2628.317073170732,41,13,,,,,
2026-04-23,939,ON,0,-41.0,-1.170731707317073,2.323728274683595,2.079858969012743,10.14251212500004,4,41,48,1.170731707317073,1240.0,1564.7435897435898,39,16,,,,,
2026-04-24,939,ON,0,-14.0,-1.1428571428571428,2.3203806537823546,1.687310798100697,13.271034999999948,2,14,16,1.1428571428571428,4169.0,3965.4615384615386,13,4,,,,,
2026-04-25,939,ON,0,-6.0,-0.8333333333333334,2.4708508589751803,1.0002335377468226,4.727358166666677,2,6,5,0.8333333333333334,3443.5,3459.75,4,6,,,,,
2026-04-26,939,OFF,0,-14.0,-2.642857142857143,2.4598501674610933,0.96323952245172,9.1925235,1,14,37,2.642857142857143,582.0,607.0,14,2,,,,,
2026-04-27,939,OFF,0,-29.0,-2.0689655172413794,2.307254270532251,0.9278954100260824,1.1752742500000333,1,29,60,2.0689655172413794,483.0,543.3793103448276,29,4,,,,,
2026-04-28,939,OFF,0,-23.0,-1.7391304347826086,2.417246763349969,1.1348178331164132,5.072376857142795,1,23,40,1.7391304347826086,641.0,855.9565217391304,23,7,,,,,
2026-04-29,939,ON,1,-18.0,-1.2222222222222223,2.307670659910679,0.8774393370746717,10.44955325,1,18,22,1.2222222222222223,718.0,1800.611111111111,18,4,,,,,
2026-04-30,939,ON,1,-1.0,-4.0,2.4654065842120785,,1.7507353333333893,2,1,4,4.0,2777.0,2777.0,1,3,,,,,
2026-05-01,939,ON,1,-25.0,-1.28,2.5684845938504015,2.037217984142054,7.861225307692313,2,25,32,1.28,1536.0,4146.52,25,13,,,,,
2026-05-02,939,OFF,1,-75.0,-1.4266666666666667,2.2873150688821986,2.9133741367374983,9.911831071428576,2,75,107,1.4266666666666667,331.0,679.9733333333334,75,42,,,,,
2026-05-03,939,OFF,1,-57.0,-1.0350877192982457,2.1503535544518666,0.9541276162329878,6.723717444444454,2,57,59,1.0350877192982457,778.0,1218.867924528302,53,18,,,,,
2026-05-04,939,OFF,1,-30.0,-1.6333333333333333,2.192840340730904,1.6434468422752828,5.822472428571397,1,30,49,1.6333333333333333,480.5,608.3333333333334,30,7,,,,,
2026-05-05,939,ON,2,-45.0,-1.1777777777777778,2.7940549121193454,2.9261691156099525,4.918996039999997,2,45,53,1.1777777777777778,354.5,705.8181818181819,44,50,,,,,
2026-05-06,939,ON,2,-32.0,-1.53125,2.1572136293306743,1.2560016950134276,8.415316000000006,3,32,49,1.53125,503.0,892.1612903225806,31,22,,,,,
2026-05-07,939,ON,2,-40.0,-1.6,2.1528257917893594,1.9122119997304552,5.129607411764712,3,40,64,1.6,1131.0,1986.025641025641,39,17,,,,,
2026-05-08,939,OFF,2,-51.0,-2.1372549019607843,2.24741024165809,1.9002548867422167,8.490244796296288,6,51,109,2.1372549019607843,178.0,578.2941176470588,51,54,,,,,
2026-05-09,939,OFF,2,-37.0,-2.054054054054054,2.210029096057347,1.428467940979337,7.360757473684209,3,37,76,2.054054054054054,283.0,575.3243243243244,37,19,,,,,
2026-05-10,939,OFF,2,-22.0,-1.4090909090909092,2.2259095630979226,2.663509125094791,6.131184636363597,3,22,31,1.4090909090909092,746.5,839.0555555555555,18,11,,,,,
