feature,feature_label,threshold,system_id,uid,date,feature_value,dist_to_thr,v3_classification,n_samples
start_dist,start ≤ 0.30 m,0.3,939,1910284,2026-04-30,0.3003,0.0003,False,125
start_dist,start ≤ 0.30 m,0.3,939,1682004,2026-04-26,0.3004,0.0004,False,239
start_dist,start ≤ 0.30 m,0.3,939,2191573,2026-05-05,0.3004,0.0004,False,174
start_dist,start ≤ 0.30 m,0.3,939,2304362,2026-05-08,0.2994,0.0006,False,142
start_dist,start ≤ 0.30 m,0.3,939,1605940,2026-04-24,0.2993,0.0007,False,121
start_dist,start ≤ 0.30 m,0.3,939,1568382,2026-04-23,0.2992,0.0008,False,170
start_dist,start ≤ 0.30 m,0.3,939,1474766,2026-04-21,0.301,0.001,False,169
start_dist,start ≤ 0.30 m,0.3,939,2046125,2026-05-02,0.2989,0.0011,False,308
start_dist,start ≤ 0.30 m,0.3,939,2200461,2026-05-05,0.3011,0.0011,False,138
start_dist,start ≤ 0.30 m,0.3,939,2482974,2026-05-12,0.3011,0.0011,False,411
start_dist,start ≤ 0.30 m,0.3,939,2280074,2026-05-07,0.3012,0.0012,False,143
start_dist,start ≤ 0.30 m,0.3,939,2231516,2026-05-06,0.3012,0.0012,False,139
start_dist,start ≤ 0.30 m,0.3,939,1684007,2026-04-26,0.3012,0.0012,False,194
start_dist,start ≤ 0.30 m,0.3,939,1559623,2026-04-23,0.3013,0.0013,False,156
start_dist,start ≤ 0.30 m,0.3,939,2204950,2026-05-05,0.3014,0.0014,False,128
start_dist,start ≤ 0.30 m,0.3,939,1786934,2026-04-28,0.3015,0.0015,False,129
start_dist,start ≤ 0.30 m,0.3,939,2045453,2026-05-02,0.3015,0.0015,False,622
start_dist,start ≤ 0.30 m,0.3,939,2045699,2026-05-02,0.3015,0.0015,False,161
end_dist,end ≤ 0.20 m,0.2,900,1880404,2026-04-30,0.2003,0.0003,False,183
end_dist,end ≤ 0.20 m,0.2,900,1610336,2026-04-25,0.2003,0.0003,False,865
end_dist,end ≤ 0.20 m,0.2,900,1373097,2026-04-20,0.2003,0.0003,False,114
end_dist,end ≤ 0.20 m,0.2,900,1539715,2026-04-23,0.2004,0.0004,False,144
end_dist,end ≤ 0.20 m,0.2,900,1890541,2026-04-30,0.2004,0.0004,False,231
end_dist,end ≤ 0.20 m,0.2,900,2299523,2026-05-09,0.1996,0.0004,False,196
end_dist,end ≤ 0.20 m,0.2,900,1964349,2026-05-01,0.1995,0.0005,False,140
end_dist,end ≤ 0.20 m,0.2,900,1617393,2026-04-25,0.1994,0.0006,False,317
end_dist,end ≤ 0.20 m,0.2,900,1249944,2026-04-17,0.1994,0.0006,False,265
end_dist,end ≤ 0.20 m,0.2,900,1002305,2026-04-13,0.1992,0.0008,False,237
end_dist,end ≤ 0.20 m,0.2,900,2074521,2026-05-03,0.1989,0.0011,False,184
end_dist,end ≤ 0.20 m,0.2,900,1249402,2026-04-17,0.1987,0.0013,False,113
end_dist,end ≤ 0.20 m,0.2,900,1877284,2026-04-30,0.1987,0.0013,False,143
end_dist,end ≤ 0.20 m,0.2,900,1656989,2026-04-26,0.1986,0.0014,False,121
end_dist,end ≤ 0.20 m,0.2,900,1244042,2026-04-17,0.2014,0.0014,False,362
end_dist,end ≤ 0.20 m,0.2,900,2326547,2026-05-09,0.1986,0.0014,True,198
end_dist,end ≤ 0.20 m,0.2,900,2328738,2026-05-09,0.1985,0.0015,False,273
end_dist,end ≤ 0.20 m,0.2,900,1703437,2026-04-27,0.1983,0.0017,False,329
end_dist,end ≤ 0.20 m,0.2,900,2249247,2026-05-07,0.2017,0.0017,False,266
end_dist,end ≤ 0.20 m,0.2,900,1087056,2026-04-14,0.1983,0.0017,False,309
end_dist,end ≤ 0.20 m,0.2,939,1996356,2026-05-01,0.2,0.0,False,371
end_dist,end ≤ 0.20 m,0.2,939,1987997,2026-05-01,0.2001,0.0001,False,122
end_dist,end ≤ 0.20 m,0.2,939,2432962,2026-05-11,0.2002,0.0002,False,153
end_dist,end ≤ 0.20 m,0.2,939,1607707,2026-04-24,0.2004,0.0004,False,118
end_dist,end ≤ 0.20 m,0.2,939,2302680,2026-05-08,0.2005,0.0005,False,136
end_dist,end ≤ 0.20 m,0.2,939,2281286,2026-05-08,0.2005,0.0005,False,403
end_dist,end ≤ 0.20 m,0.2,939,2191974,2026-05-05,0.1994,0.0006,False,409
end_dist,end ≤ 0.20 m,0.2,939,1683120,2026-04-26,0.2008,0.0008,False,214
end_dist,end ≤ 0.20 m,0.2,939,2388902,2026-05-10,0.2009,0.0009,False,531
end_dist,end ≤ 0.20 m,0.2,939,1524667,2026-04-22,0.2009,0.0009,False,362
end_dist,end ≤ 0.20 m,0.2,939,2281110,2026-05-07,0.2009,0.0009,False,375
end_dist,end ≤ 0.20 m,0.2,939,2146094,2026-05-04,0.1991,0.0009,True,171
end_dist,end ≤ 0.20 m,0.2,939,2351175,2026-05-09,0.2011,0.0011,False,230
end_dist,end ≤ 0.20 m,0.2,939,2231635,2026-05-06,0.1987,0.0013,False,111
end_dist,end ≤ 0.20 m,0.2,939,2477288,2026-05-12,0.2016,0.0016,False,117
end_dist,end ≤ 0.20 m,0.2,939,2146425,2026-05-04,0.2018,0.0018,False,242
end_dist,end ≤ 0.20 m,0.2,939,1993225,2026-05-01,0.1979,0.0021,False,224
end_dist,end ≤ 0.20 m,0.2,939,1568420,2026-04-23,0.1978,0.0022,False,128
end_dist,end ≤ 0.20 m,0.2,939,1519939,2026-04-22,0.2023,0.0023,False,180
end_dist,end ≤ 0.20 m,0.2,939,1603162,2026-04-24,0.2024,0.0024,False,184
outward_cos,outward cos > 0.30,0.3,900,1247206,2026-04-17,0.3001,0.0001,False,202
outward_cos,outward cos > 0.30,0.3,900,2161073,2026-05-05,0.3001,0.0001,True,124
outward_cos,outward cos > 0.30,0.3,900,2106133,2026-05-04,0.2998,0.0002,True,515
outward_cos,outward cos > 0.30,0.3,900,2371987,2026-05-10,0.2997,0.0003,False,118
outward_cos,outward cos > 0.30,0.3,900,1333621,2026-04-19,0.2997,0.0003,False,120
outward_cos,outward cos > 0.30,0.3,900,1806467,2026-04-29,0.3003,0.0003,False,121
outward_cos,outward cos > 0.30,0.3,900,2107867,2026-05-04,0.2997,0.0003,False,111
outward_cos,outward cos > 0.30,0.3,900,2252400,2026-05-07,0.2996,0.0004,False,110
outward_cos,outward cos > 0.30,0.3,900,2283645,2026-05-08,0.2996,0.0004,False,184
outward_cos,outward cos > 0.30,0.3,900,2106016,2026-05-04,0.2995,0.0005,False,291
outward_cos,outward cos > 0.30,0.3,900,1423667,2026-04-21,0.3005,0.0005,False,113
outward_cos,outward cos > 0.30,0.3,900,2365856,2026-05-10,0.2995,0.0005,False,175
outward_cos,outward cos > 0.30,0.3,900,1581941,2026-04-24,0.3005,0.0005,True,212
outward_cos,outward cos > 0.30,0.3,900,1740622,2026-04-28,0.2995,0.0005,False,175
outward_cos,outward cos > 0.30,0.3,900,1293040,2026-04-18,0.3005,0.0005,True,253
outward_cos,outward cos > 0.30,0.3,900,1882022,2026-04-30,0.2994,0.0006,False,110
outward_cos,outward cos > 0.30,0.3,900,1069255,2026-04-14,0.2994,0.0006,False,159
outward_cos,outward cos > 0.30,0.3,900,1241906,2026-04-17,0.3006,0.0006,False,119
outward_cos,outward cos > 0.30,0.3,900,1127119,2026-04-15,0.2993,0.0007,False,857
outward_cos,outward cos > 0.30,0.3,900,1584188,2026-04-24,0.3007,0.0007,False,125
outward_cos,outward cos > 0.30,0.3,939,2044555,2026-05-02,0.3,0.0,False,770
outward_cos,outward cos > 0.30,0.3,939,1794869,2026-04-28,0.3002,0.0002,True,147
outward_cos,outward cos > 0.30,0.3,939,1682920,2026-04-26,0.2995,0.0005,False,173
outward_cos,outward cos > 0.30,0.3,939,1854188,2026-04-29,0.2995,0.0005,False,122
outward_cos,outward cos > 0.30,0.3,939,2362487,2026-05-09,0.2994,0.0006,False,117
outward_cos,outward cos > 0.30,0.3,939,1844654,2026-04-29,0.2993,0.0007,False,253
outward_cos,outward cos > 0.30,0.3,939,2432251,2026-05-11,0.2992,0.0008,False,174
outward_cos,outward cos > 0.30,0.3,939,1733160,2026-04-27,0.301,0.001,False,240
outward_cos,outward cos > 0.30,0.3,939,2482563,2026-05-12,0.299,0.001,False,317
outward_cos,outward cos > 0.30,0.3,939,1733135,2026-04-27,0.2988,0.0012,False,216
outward_cos,outward cos > 0.30,0.3,939,2432682,2026-05-11,0.2987,0.0013,False,190
outward_cos,outward cos > 0.30,0.3,939,2280026,2026-05-07,0.3013,0.0013,False,118
outward_cos,outward cos > 0.30,0.3,939,1602896,2026-04-24,0.3016,0.0016,False,159
outward_cos,outward cos > 0.30,0.3,939,2359965,2026-05-09,0.2984,0.0016,False,113
outward_cos,outward cos > 0.30,0.3,939,2193755,2026-05-05,0.3018,0.0018,True,125
outward_cos,outward cos > 0.30,0.3,939,2347006,2026-05-09,0.2982,0.0018,False,296
outward_cos,outward cos > 0.30,0.3,939,2273848,2026-05-07,0.3018,0.0018,True,180
outward_cos,outward cos > 0.30,0.3,939,1693230,2026-04-26,0.2982,0.0018,False,156
outward_cos,outward cos > 0.30,0.3,939,2489402,2026-05-12,0.2982,0.0018,False,226
outward_cos,outward cos > 0.30,0.3,939,1640466,2026-04-25,0.2981,0.0019,False,146
toward_cos,toward cos > 0.30,0.3,900,2289968,2026-05-08,0.2999,0.0001,False,161
toward_cos,toward cos > 0.30,0.3,900,2463554,2026-05-12,0.3002,0.0002,False,228
toward_cos,toward cos > 0.30,0.3,900,2464415,2026-05-12,0.2997,0.0003,False,117
toward_cos,toward cos > 0.30,0.3,900,1486598,2026-04-22,0.3004,0.0004,True,167
toward_cos,toward cos > 0.30,0.3,900,1080458,2026-04-14,0.3004,0.0004,False,165
toward_cos,toward cos > 0.30,0.3,900,1384700,2026-04-20,0.2995,0.0005,False,438
toward_cos,toward cos > 0.30,0.3,900,1325883,2026-04-19,0.2992,0.0008,False,113
toward_cos,toward cos > 0.30,0.3,900,1002800,2026-04-13,0.2992,0.0008,False,176
toward_cos,toward cos > 0.30,0.3,900,1658568,2026-04-26,0.3009,0.0009,False,138
toward_cos,toward cos > 0.30,0.3,900,1614680,2026-04-25,0.3009,0.0009,False,124
toward_cos,toward cos > 0.30,0.3,900,1945284,2026-05-01,0.301,0.001,False,118
toward_cos,toward cos > 0.30,0.3,900,2111101,2026-05-04,0.3012,0.0012,False,117
toward_cos,toward cos > 0.30,0.3,900,1091403,2026-04-14,0.3013,0.0013,False,146
toward_cos,toward cos > 0.30,0.3,900,1372652,2026-04-20,0.3014,0.0014,False,127
toward_cos,toward cos > 0.30,0.3,900,1753443,2026-04-28,0.2985,0.0015,False,155
toward_cos,toward cos > 0.30,0.3,900,2212091,2026-05-06,0.3017,0.0017,False,399
toward_cos,toward cos > 0.30,0.3,900,1578671,2026-04-24,0.3018,0.0018,False,209
toward_cos,toward cos > 0.30,0.3,900,1748503,2026-04-28,0.3018,0.0018,False,236
