date,system_id,condition,cycle,neg_exit_count,neg_re_ratio,path_tortuosity,ifi_cv,mean_handling_time_s,n_distinct_flowers,n_exit_v3,n_return_v3,re_ratio_v3,median_trip_s,mean_trip_s,n_matched,n_visits,mean_dbm,max_dbm,median_dbm,mean_mbps,max_mbps
2026-05-08,900,OFF,2,-115.0,-0.8260869565217391,2.2018232931704986,1.4184584349002003,4.034211086956509,12.0,115,95,0.8260869565217391,2911.0,3083.0315789473684,95,23.0,-16.196597222222223,3.91,-9.72,0.17638888888888887,25.4
2026-05-09,900,OFF,2,-85.0,-1.1058823529411765,2.3094902549275322,1.334422693828409,5.596560241379289,16.0,85,94,1.1058823529411765,1278.0,1702.6352941176472,85,29.0,-15.331180555555555,-1.37,-9.365,0.0,0.0
2026-05-10,900,OFF,2,-72.0,-1.0,2.319220027768806,3.093711221346704,7.713863185185154,15.0,72,72,1.0,2960.0,3033.450704225352,71,27.0,-15.769791666666666,-1.24,-9.434999999999999,0.0,0.0
2026-05-11,900,ON,3,-92.0,-1.0217391304347827,2.190310872282283,1.9055875748087185,4.043056565217361,13.0,92,94,1.0217391304347827,2667.0,2606.978021978022,91,23.0,12.253055555555555,14.5,12.3,273.47222222222223,291.0
2026-05-12,900,ON,3,-92.0,-0.8913043478260869,2.111522942675561,1.91446709307222,,0.0,92,82,0.8913043478260869,1435.0,1640.6052631578948,76,0.0,12.45625,14.0,12.6,282.19444444444446,300.0
2026-05-13,900,ON,3,-67.0,-0.8955223880597015,2.1697941834799526,1.8240504410578804,,,67,60,0.8955223880597015,4198.5,4735.683333333333,60,,12.175138888888888,14.0,12.3,279.4146341463415,298.0
2026-05-14,900,OFF,3,-68.0,-0.6911764705882353,2.2439718229542236,1.422434765008961,,,68,47,0.6911764705882353,4368.0,4423.191489361702,47,,-15.39048611111111,-1.2,-9.55,,
2026-05-15,900,OFF,3,-76.0,-0.7631578947368421,2.2599896376160595,2.238382461114877,,,76,58,0.7631578947368421,5376.0,5699.448275862069,58,,-14.298958333333335,-1.71,-9.48,,
2026-05-16,900,OFF,3,-120.0,-0.8833333333333333,2.139093537403605,2.7305091186858466,,,120,106,0.8833333333333333,2302.5,2563.3039215686276,102,,-15.822361111111112,-1.1,-10.0,,
2026-05-17,900,ON,4,-86.0,-0.9651162790697675,2.2043514636861063,2.160700902749332,,,86,83,0.9651162790697675,1440.5,1618.7073170731708,82,,11.891736111111111,13.9,12.0,,
2026-05-18,900,ON,4,-60.0,-0.9166666666666666,2.2301423812012136,2.7490839677861665,,,60,55,0.9166666666666666,4212.0,5389.290909090909,55,,11.825185185185186,13.2,11.9,,
2026-05-19,900,ON,4,-102.0,-0.7450980392156863,2.253272015421929,2.3845169481458437,,,102,76,0.7450980392156863,2843.0,3134.346666666667,75,,,,,,
2026-04-21,939,BASELINE,-1,-22.0,-1.5,2.2803457614008766,1.6023895916263173,7.289775545454547,6.0,22,33,1.5,465.0,503.5238095238095,21,11.0,-33.63402777777778,-29.2,-33.7,,
2026-04-22,939,BASELINE,-1,-60.0,-0.6333333333333333,2.407356821763654,2.4065906312097307,6.761530200000013,9.0,60,38,0.6333333333333333,10202.0,9119.657894736842,38,10.0,-32.17944444444444,11.9,-33.6,,
2026-04-23,939,ON,0,-60.0,-0.55,2.341972999332662,1.882412200246171,9.671570785714314,13.0,60,33,0.55,6408.0,5885.935483870968,31,14.0,-0.8268750000000001,11.0,7.16,272.94545454545454,291.0
2026-04-24,939,ON,0,-37.0,-0.43243243243243246,2.325012673011769,2.260792970793433,11.868162076923111,9.0,37,16,0.43243243243243246,6142.0,7149.9375,16,13.0,6.858819444444444,9.77,8.024999999999999,271.9642857142857,289.0
2026-04-25,939,ON,0,-32.0,-0.15625,2.48214466057685,2.246087859637835,7.845871699999987,8.0,32,5,0.15625,10008.0,7475.0,5,10.0,6.080652777777778,10.7,8.11,272.3037037037037,290.0
2026-04-26,939,OFF,0,-35.0,-0.7142857142857143,2.478687518640329,1.2920939854654703,6.465528400000056,6.0,35,25,0.7142857142857143,6496.0,7247.0,24,10.0,-30.903472222222224,-12.4,-33.6,5.072727272727272,279.0
2026-04-27,939,OFF,0,-38.0,-1.0789473684210527,2.3137353627615127,2.1311346832773257,9.010507499999974,4.0,38,41,1.0789473684210527,2207.0,3286.0,37,4.0,-31.265972222222224,-14.2,-33.5,0.0,0.0
2026-04-28,939,OFF,0,-45.0,-0.7333333333333333,2.4171747284382485,1.3034780153798755,5.213054399999964,4.0,45,33,0.7333333333333333,7236.0,7078.909090909091,33,5.0,-31.33921568627451,-17.4,-33.5,0.0,0.0
2026-04-29,939,ON,1,-30.0,-0.3333333333333333,2.3341251164199113,1.0695861827105382,20.17491279999999,5.0,30,10,0.3333333333333333,3249.0,5504.8,10,5.0,-0.13350694444444441,9.87,7.1850000000000005,269.9561403508772,290.0
2026-04-30,939,ON,1,-9.0,-0.5555555555555556,2.488231687388054,1.174261338911897,1.620903000000112,3.0,9,5,0.5555555555555556,9143.0,11058.2,5,3.0,1.1786805555555555,11.0,6.725,279.4344262295082,293.0
2026-05-01,939,ON,1,-43.0,-0.5581395348837209,2.593147003008367,2.4507478774440976,9.57568000000002,6.0,43,24,0.5581395348837209,3183.0,6409.666666666667,21,8.0,4.643895833333334,11.9,9.055,269.748031496063,291.0
2026-05-02,939,OFF,1,-99.0,-0.7171717171717171,2.3031800126457265,2.771519722137933,9.70795387500003,6.0,99,71,0.7171717171717171,4140.0,5835.1,70,8.0,-31.25416666666667,-2.97,-33.6,0.0,0.0
2026-05-03,939,OFF,1,-92.0,-0.391304347826087,2.1503535544518666,1.3620451069043398,13.462913571428569,6.0,92,36,0.391304347826087,7566.0,5825.727272727273,33,7.0,-29.76715277777778,-8.23,-33.5,0.0,0.0
2026-05-04,939,OFF,1,-46.0,-0.782608695652174,2.198676559772007,1.8023879049456708,5.871879500000044,6.0,46,36,0.782608695652174,6856.0,6816.194444444444,36,6.0,-30.064468085106384,-7.93,-33.5,0.0,0.0
2026-05-05,939,ON,2,-59.0,-0.6610169491525424,2.795059303322519,1.900963335039377,12.800905666666674,10.0,59,39,0.6610169491525424,2245.0,4129.641025641025,39,12.0,8.602361111111112,12.3,8.925,281.3541666666667,293.0
2026-05-06,939,ON,2,-54.0,-0.6481481481481481,2.165229415242532,1.894939562401284,7.924664799999983,5.0,54,35,0.6481481481481481,3025.0,3629.0588235294117,34,5.0,9.847222222222221,12.7,9.98,291.6666666666667,319.0
2026-05-07,939,ON,2,-38.0,-1.2894736842105263,2.161971813733887,2.08805143281229,11.930057600000056,4.0,38,49,1.2894736842105263,1386.0,3030.212121212121,33,5.0,7.831180555555556,12.4,10.0,278.963503649635,292.0
2026-05-08,939,OFF,2,-59.0,-0.9830508474576272,2.2589099794075462,1.1831304286199436,7.084842222222266,11.0,59,58,0.9830508474576272,1644.0,1931.8431372549019,51,18.0,-30.73013888888889,-9.04,-33.5,0.17638888888888887,25.4
2026-05-09,939,OFF,2,-48.0,-1.0208333333333333,2.2105257881363864,1.2231136064881512,6.855599166666669,6.0,48,49,1.0208333333333333,698.0,1871.5106382978724,47,6.0,-31.386805555555554,-12.1,-33.5,0.0,0.0
2026-05-10,939,OFF,2,-39.0,-0.5897435897435898,2.2255402156213187,2.144685508043689,5.218779250000011,4.0,39,23,0.5897435897435898,3523.0,3777.5652173913045,23,4.0,-30.007913669064752,-11.1,-33.5,0.0,0.0
2026-05-11,939,ON,3,-40.0,-0.55,2.121443524526879,1.9117666437661718,3.180473000000026,5.0,40,22,0.55,11442.0,11181.952380952382,21,6.0,9.153958333333334,12.3,9.35,273.47222222222223,291.0
2026-05-12,939,ON,3,-38.0,-1.1578947368421053,2.1960034145530467,1.733541130687326,,0.0,38,44,1.1578947368421053,1403.0,1744.078947368421,38,0.0,10.508194444444445,13.4,10.6,282.19444444444446,300.0
2026-05-13,939,ON,3,-38.0,-1.1578947368421053,2.2692380542864288,1.9390177363293786,,,38,44,1.1578947368421053,1111.0,1481.8333333333333,36,,9.96258064516129,12.9,10.1,279.4146341463415,298.0
2026-05-14,939,OFF,3,-49.0,-0.5714285714285714,2.5134958675252808,1.7347547607370253,,,49,28,0.5714285714285714,6266.0,6430.142857142857,28,,,,,,
2026-05-15,939,OFF,3,-50.0,-0.7,2.3653486081456974,1.3545080024955893,,,50,35,0.7,4724.0,5869.942857142857,35,,,,,,
2026-05-16,939,OFF,3,-48.0,-0.625,2.379582519567913,1.6704109975727166,,,48,30,0.625,4722.0,4556.8,30,,,,,,
2026-05-17,939,ON,4,-54.0,-0.46296296296296297,2.3072106836486252,2.109512696517232,,,54,25,0.46296296296296297,2016.0,3698.6,25,,,,,,
2026-05-18,939,ON,4,-33.0,-1.606060606060606,2.2009775086259538,1.3398955854582095,,,33,53,1.606060606060606,435.0,704.4242424242424,33,,,,,,
2026-05-19,939,ON,4,-69.0,-0.9130434782608695,2.123283778832634,2.514651490565865,,,69,63,0.9130434782608695,912.0,1739.1764705882354,51,,,,,,
