date,system_id,uid,ts,n_samples,n_spike_frames,hive_exit_v1,hive_return_v1,hive_exit_v3,hive_return_v3,initial_speed_min,start_dist,outward_cos,terminal_speed_min,end_dist,toward_cos,tortuosity
2026-05-14,939,2556243,2026-05-14 10:41:09,181,2,False,False,False,False,0.9213726956015137,1.3911853076864586,-0.008397540131056548,0.433048571178797,2.1687579330575373,-0.9888439864380092,2.21349550757877
2026-05-14,939,2556244,2026-05-14 10:41:12,152,0,False,False,False,False,0.565845339403788,1.8276483486466366,0.3273616415728409,0.17229072348794197,1.9126729736418613,-0.5561672200241757,4.15457095735854
2026-05-14,939,2556245,2026-05-14 10:41:15,233,3,False,False,False,False,0.44166860104607947,0.6307462113427413,-0.9139508086520213,0.1472667617794341,0.2419465765763177,-0.9683059393500052,3.689623729050794
2026-05-14,939,2556247,2026-05-14 10:41:18,166,3,True,False,False,False,0.08926484239072004,0.09386245879108757,-0.8095349190680251,0.38157308307189547,0.6947203322949459,-0.9475923391066643,2.250835939779269
2026-05-14,939,2556263,2026-05-14 10:41:43,410,3,False,False,False,False,0.2846152377614437,0.5203943471625896,-0.9572670531785374,0.38288733212264836,0.5617437854654025,-0.701935902813411,6.272321139522397
2026-05-14,939,2556265,2026-05-14 10:41:47,235,0,False,False,False,False,0.17895888159015996,0.17746912709633006,-0.704360999567252,0.3165099314792518,1.284224347955216,-0.8764452244971459,2.351744121186482
2026-05-14,939,2556269,2026-05-14 10:41:52,123,0,False,False,False,False,0.6526601931978117,0.9206867420978635,0.12968359587608547,0.4111465123894386,0.41503897369403747,-0.46151602088134164,2.7762140064364833
2026-05-14,939,2556272,2026-05-14 10:41:54,275,0,False,False,False,False,0.13592625702932096,0.17042447180072343,-0.37979776010338917,0.15806696879804039,0.39080660970996894,-0.9810184489843179,2.014995126417011
2026-05-14,939,2556274,2026-05-14 10:41:57,145,1,False,False,False,False,0.2712275877376723,0.2533025232488264,-0.7204757715124763,0.6757856309695996,0.9557587674491929,-0.9836352379161863,2.1471009922877196
2026-05-14,939,2556276,2026-05-14 10:41:59,295,2,False,False,True,False,0.3034089264095563,0.24530239606860765,0.8057581500804472,0.25348613552026533,0.32458956457540356,0.6445550532032784,6.517416039939915
2026-05-14,939,2556283,2026-05-14 10:42:11,119,3,False,False,False,False,0.6279629667711322,1.496191077333856,-0.30679908614678464,0.4561821593398888,2.5028955817013223,-0.9517781212317331,1.5782906511526844
2026-05-14,939,2556286,2026-05-14 10:42:28,347,1,True,False,True,False,0.1681774014597682,0.06288735269918935,0.3522932653392712,0.3910826672201159,0.7477489842694538,-0.8773132727256593,4.176721957449844
2026-05-14,939,2556298,2026-05-14 10:43:50,494,0,False,False,False,False,0.7944549171916563,1.0006339684271832,-0.9875931243360322,0.08187383235808605,0.13813853274883153,-0.9292198782680481,2.431906162084538
2026-05-14,939,2556306,2026-05-14 10:44:29,146,0,False,False,False,False,0.7221263378059285,0.6241275487239945,-0.9772616187828169,0.14268493736200136,0.38238171226668255,-0.9477911827400538,2.394520684112757
